id,name,district_bundesland
1,Flensburg – Schleswig,1
2,Nordfriesland – Dithmarschen Nord,1
3,Steinburg – Dithmarschen Süd,1
4,Rendsburg-Eckernförde,1
5,Kiel,1
6,Plön – Neumünster,1
7,Pinneberg,1
8,Segeberg – Stormarn-Mitte,1
9,Ostholstein – Stormarn-Nord,1
10,Herzogtum Lauenburg – Stormarn-Süd,1
11,Lübeck,1
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,13
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,13
14,Rostock – Landkreis Rostock II,13
15,Vorpommern-Rügen – Vorpommern-Greifswald I,13
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,13
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,13
18,Hamburg-Mitte,2
19,Hamburg-Altona,2
20,Hamburg-Eimsbüttel,2
21,Hamburg-Nord,2
22,Hamburg-Wandsbek,2
23,Hamburg-Bergedorf – Harburg,2
24,Aurich – Emden,3
25,Unterems,3
26,Friesland – Wilhelmshaven – Wittmund,3
27,Oldenburg – Ammerland,3
28,Delmenhorst – Wesermarsch – Oldenburg-Land,3
29,Cuxhaven – Stade II,3
30,Stade I – Rotenburg II,3
31,Mittelems,3
32,Cloppenburg – Vechta,3
33,Diepholz – Nienburg I,3
34,Osterholz – Verden,3
35,Rotenburg I – Heidekreis,3
36,Harburg,3
37,Lüchow-Dannenberg – Lüneburg,3
38,Osnabrück-Land,3
39,Stadt Osnabrück,3
40,Nienburg II – Schaumburg,3
41,Stadt Hannover I,3
42,Stadt Hannover II,3
43,Hannover-Land I,3
44,Celle – Uelzen,3
45,Gifhorn – Peine,3
46,Hameln-Pyrmont – Holzminden,3
47,Hannover-Land II,3
48,Hildesheim,3
49,Salzgitter – Wolfenbüttel,3
50,Braunschweig,3
51,Helmstedt – Wolfsburg,3
52,Goslar – Northeim – Osterode,3
53,Göttingen,3
54,Bremen I,4
55,Bremen II – Bremerhaven,4
56,Prignitz – Ostprignitz-Ruppin – Havelland I,12
57,Uckermark – Barnim I,12
58,Oberhavel – Havelland II,12
